id,name,SMILES,source_row,source_label
DH0037,二酐样本-037,O=C(CCC(=O)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15093,4
DH0038,二酐样本-038,O=C1OC(=O)c2cc(OCc3ccc([PH](=O)c4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15094,4
DH0039,二酐样本-039,CP(=O)(c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15095,4
DH0040,二酐样本-040,C[Si](C)(c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15096,4
DH0041,二酐样本-041,CCC(CC)(c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15097,4
DH0042,二酐样本-042,O=C1OC(=O)c2cc(OCc3ccc(C(O)CC(O)c4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15098,4
DH0043,二酐样本-043,O=C1OC(=O)c2cc(OCc3ccc(C(O)CCC(O)c4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15099,4
DH0044,二酐样本-044,O=C(CC(O)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15100,4
DH0045,二酐样本-045,O=C(CCC(O)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15101,4
DH0046,二酐样本-046,O=C1OC(=O)c2cc(OCc3ccc(-c4ccc(-c5ccc(COc6ccc7c(c6)C(=O)OC7=O)o5)cc4)o3)ccc21,15102,4
DH0047,二酐样本-047,O=C1OC(=O)c2cc(OCc3ccc(-c4ccc(-c5ccc(COc6ccc7c(c6)C(=O)OC7=O)o5)o4)o3)ccc21,15103,4
DH0048,二酐样本-048,O=C(C=CC(=O)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15104,4
DH0049,二酐样本-049,O=C(C=CC(O)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15105,4
DH0050,二酐样本-050,O=C1OC(=O)c2cc(OCc3ccc(-c4ccc(-c5ccc(-c6ccc(COc7ccc8c(c7)C(=O)OC8=O)o6)cc5)cc4)o3)ccc21,15106,4
DH0051,二酐样本-051,O=C1OC(=O)c2cc(OCc3ccc(C#Cc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15107,4
DH0052,二酐样本-052,O=C1OC(=O)c2cc(OCc3ccc(-c4cccc(-c5ccc(COc6ccc7c(c6)C(=O)OC7=O)o5)n4)o3)ccc21,15108,4
DH0053,二酐样本-053,O=C1OC(=O)c2cc(OCc3ccc(-c4ncnc(-c5ccc(COc6ccc7c(c6)C(=O)OC7=O)o5)n4)o3)ccc21,15109,4
DH0054,二酐样本-054,C[Si](C)(O[Si](C)(C)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15110,4
DH0055,二酐样本-055,O=C1OC(=O)c2cc(OCc3ccc([Si](c4ccccc4)(c4ccccc4)c4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15111,4
DH0056,二酐样本-056,COB(c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15112,4
DH0057,二酐样本-057,COB(OB(OC)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15113,4
DH0058,二酐样本-058,COP(=O)(c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15114,4
DH0059,二酐样本-059,O=C1OC(=O)c2cc(OCc3ccc(Nc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15115,4
DH0060,二酐样本-060,O=C1OC(=O)c2cc(OCc3ccc(CNCNCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15116,4
DH0061,二酐样本-061,O=C1OC(=O)c2cc(OCc3ccc(CNCCNCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15117,4
DH0062,二酐样本-062,O=C1OC(=O)c2cc(OCc3ccc(CNCCCNCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15118,4
DH0063,二酐样本-063,CN(c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15119,4
DH0064,二酐样本-064,CN(Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)CN(C)Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15120,4
DH0065,二酐样本-065,CN(CCN(C)Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15121,4
DH0066,二酐样本-066,CN(CCCN(C)Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15122,4
DH0067,二酐样本-067,COCC(COC)(c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15123,4
DH0068,二酐样本-068,O=C(NNC(=O)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15124,4
DH0069,二酐样本-069,O=C(NCc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)NCc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15125,4
DH0070,二酐样本-070,O=C(Nc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)Nc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15126,4
DH0071,二酐样本-071,O=C(c1ccc(C(=O)c2ccc(COc3ccc4c(c3)C(=O)OC4=O)o2)cc1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15127,4
DH0072,二酐样本-072,O=C(c1cccc(C(=O)c2ccc(COc3ccc4c(c3)C(=O)OC4=O)o2)c1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15128,4
DH0073,二酐样本-073,O=C(Oc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)Oc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15129,4
DH0074,二酐样本-074,O=C(OCc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)OCc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15130,4
DH0075,二酐样本-075,O=C1OC(=O)c2cc(OCc3ccc(OCOc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15131,4
DH0076,二酐样本-076,O=C1OC(=O)c2cc(OCc3ccc(CSCSCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15132,4
DH0077,二酐样本-077,O=C1OC(=O)c2cc(OCc3ccc(CSCCCSCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15133,4
DH0078,二酐样本-078,O=C1OC(=O)c2cc(OCc3ccc(CSCCSCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15134,4
DH0079,二酐样本-079,O=C1OC(=O)c2cc(OCc3ccc(C(F)(F)C(F)(F)c4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15135,4
DH0080,二酐样本-080,O=C1OC(=O)c2cc(OCc3ccc(C(F)(F)c4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15136,4
DH0081,二酐样本-081,O=C1OC(=O)c2cc(OCc3ccc(C(=O)c4c(F)c(F)c(C(=O)c5ccc(COc6ccc7c(c6)C(=O)OC7=O)o5)c(F)c4F)o3)ccc21,15137,4
DH0082,二酐样本-082,O=C1OC(=O)c2cc(OCc3ccc(C(c4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)(C(F)(F)F)C(F)(F)F)o3)ccc21,15138,4
DH0083,二酐样本-083,O=C1OC(=O)c2cc(OCc3ccc(C4(c5ccc(COc6ccc7c(c6)C(=O)OC7=O)o5)CC4)o3)ccc21,15139,4
DH0084,二酐样本-084,O=C1OC(=O)c2cc(OCc3ccc(-c4ccc(Cc5ccc(-c6ccc(COc7ccc8c(c7)C(=O)OC8=O)o6)cc5)cc4)o3)ccc21,15140,4
DH0085,二酐样本-085,O=C1OC(=O)c2cc(OCc3ccc(-c4ccc(Nc5ccc(-c6ccc(COc7ccc8c(c7)C(=O)OC8=O)o6)cc5)cc4)o3)ccc21,15141,4
DH0086,二酐样本-086,O=C1OC(=O)c2cc(OCc3ccc(-c4ccc(Sc5ccc(-c6ccc(COc7ccc8c(c7)C(=O)OC8=O)o6)cc5)cc4)o3)ccc21,15142,4
DH0087,二酐样本-087,O=C1OC(=O)c2cc(OCc3ccc(-c4ccc(Oc5ccc(-c6ccc(COc7ccc8c(c7)C(=O)OC8=O)o6)cc5)cc4)o3)ccc21,15143,4
