smiles,property_name,property_value,property_unit,label_source
*/C(=C(/*)c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,O2 Permeability Barrer,12.09999999,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)-c1cc([Si](C)(C)C)ccc1C2(C)C)c1ccccc1,Co2 Permeability Barrer,24000.00002,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)-c1cc([Si](C)(C)C)ccc1C2(C)C)c1ccccc1,H2 Permeability Barrer,19000.0,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)-c1cc([Si](C)(C)C)ccc1C2(C)C)c1ccccc1,O2 Permeability Barrer,9800.000007,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)-c1cc([Si](C)(C)C)ccc1C2(C)C)c1ccccc1,Co2 Permeability Barrer,24000.00002,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)-c1cc([Si](C)(C)C)ccc1C2(C)C)c1ccccc1,H2 Permeability Barrer,19000.0,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)-c1cc([Si](C)(C)C)ccc1C2(C)C)c1ccccc1,O2 Permeability Barrer,9800.000007,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C2(C)C)c1ccccc1,Co2 Permeability Barrer,3400.0,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C2(C)C)c1ccccc1,H2 Permeability Barrer,2000.000002,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C2(C)C)c1ccccc1,O2 Permeability Barrer,829.9999993,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C2(C)C)c1ccccc1,Co2 Permeability Barrer,3400.0,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C2(C)C)c1ccccc1,H2 Permeability Barrer,2000.000002,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C2(C)C)c1ccccc1,O2 Permeability Barrer,829.9999993,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C21CC1)c1ccc([Si](C)(C)C)cc1,Co2 Permeability Barrer,1900.0,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C21CC1)c1ccc([Si](C)(C)C)cc1,H2 Permeability Barrer,980.0000007,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C21CC1)c1ccc([Si](C)(C)C)cc1,O2 Permeability Barrer,439.9999995,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C21CC1)c1ccc([Si](C)(C)C)cc1,Co2 Permeability Barrer,1900.0,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C21CC1)c1ccc([Si](C)(C)C)cc1,H2 Permeability Barrer,980.0000007,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C21CC1)c1ccc([Si](C)(C)C)cc1,O2 Permeability Barrer,439.9999995,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C21CC1)c1ccccc1,Co2 Permeability Barrer,4049.999998,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C21CC1)c1ccccc1,H2 Permeability Barrer,1949.999998,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C21CC1)c1ccccc1,O2 Permeability Barrer,980.0000007,Barrer,exp
